pixelIdx,BP_ROW1_FOV1_wavelength_nm,BP_ROW1_FOV1_sampling_nm/pix,BP_ROW1_FOV2_wavelength_nm,BP_ROW1_FOV2_sampling_nm/pix,BP_ROW2_FOV1_wavelength_nm,BP_ROW2_FOV1_sampling_nm/pix,BP_ROW2_FOV2_wavelength_nm,BP_ROW2_FOV2_sampling_nm/pix,BP_ROW3_FOV1_wavelength_nm,BP_ROW3_FOV1_sampling_nm/pix,BP_ROW3_FOV2_wavelength_nm,BP_ROW3_FOV2_sampling_nm/pix,BP_ROW4_FOV1_wavelength_nm,BP_ROW4_FOV1_sampling_nm/pix,BP_ROW4_FOV2_wavelength_nm,BP_ROW4_FOV2_sampling_nm/pix,BP_ROW5_FOV1_wavelength_nm,BP_ROW5_FOV1_sampling_nm/pix,BP_ROW5_FOV2_wavelength_nm,BP_ROW5_FOV2_sampling_nm/pix,BP_ROW6_FOV1_wavelength_nm,BP_ROW6_FOV1_sampling_nm/pix,BP_ROW6_FOV2_wavelength_nm,BP_ROW6_FOV2_sampling_nm/pix,BP_ROW7_FOV1_wavelength_nm,BP_ROW7_FOV1_sampling_nm/pix,BP_ROW7_FOV2_wavelength_nm,BP_ROW7_FOV2_sampling_nm/pix,RP_ROW1_FOV1_wavelength_nm,RP_ROW1_FOV1_sampling_nm/pix,RP_ROW1_FOV2_wavelength_nm,RP_ROW1_FOV2_sampling_nm/pix,RP_ROW2_FOV1_wavelength_nm,RP_ROW2_FOV1_sampling_nm/pix,RP_ROW2_FOV2_wavelength_nm,RP_ROW2_FOV2_sampling_nm/pix,RP_ROW3_FOV1_wavelength_nm,RP_ROW3_FOV1_sampling_nm/pix,RP_ROW3_FOV2_wavelength_nm,RP_ROW3_FOV2_sampling_nm/pix,RP_ROW4_FOV1_wavelength_nm,RP_ROW4_FOV1_sampling_nm/pix,RP_ROW4_FOV2_wavelength_nm,RP_ROW4_FOV2_sampling_nm/pix,RP_ROW5_FOV1_wavelength_nm,RP_ROW5_FOV1_sampling_nm/pix,RP_ROW5_FOV2_wavelength_nm,RP_ROW5_FOV2_sampling_nm/pix,RP_ROW6_FOV1_wavelength_nm,RP_ROW6_FOV1_sampling_nm/pix,RP_ROW6_FOV2_wavelength_nm,RP_ROW6_FOV2_sampling_nm/pix,RP_ROW7_FOV1_wavelength_nm,RP_ROW7_FOV1_sampling_nm/pix,RP_ROW7_FOV2_wavelength_nm,RP_ROW7_FOV2_sampling_nm/pix
0,1071.22,29.10,1069.41,29.04,1085.56,29.58,1084.18,29.53,1099.97,30.06,1099.04,30.03,1114.43,30.54,1113.97,30.53,1128.95,31.03,1128.99,31.03,1143.54,31.51,1144.08,31.53,1158.18,32.00,1159.25,32.04,581.39,5.63,581.40,5.63,577.98,5.74,577.97,5.74,574.85,5.85,574.83,5.85,572.03,5.94,571.99,5.94,569.58,6.02,569.52,6.02,567.51,6.09,567.44,6.09,565.87,6.14,565.78,6.15
1,1042.12,29.10,1040.37,29.04,1055.98,29.58,1054.65,29.53,1069.91,30.06,1069.01,30.03,1083.89,30.54,1083.45,30.53,1097.93,31.03,1097.96,31.03,1112.02,31.51,1112.55,31.53,1126.18,32.00,1127.21,32.04,587.02,5.63,587.03,5.63,583.72,5.74,583.72,5.74,580.69,5.85,580.67,5.85,577.97,5.94,577.94,5.94,575.60,6.02,575.54,6.02,573.60,6.09,573.53,6.09,572.01,6.14,571.92,6.15
2,1013.01,29.10,1011.33,29.04,1026.40,29.58,1025.11,29.53,1039.84,30.06,1038.98,30.03,1053.34,30.54,1052.92,30.53,1066.90,31.03,1066.93,31.03,1080.51,31.51,1081.01,31.53,1094.18,32.00,1095.18,32.04,592.65,5.63,592.65,5.63,589.46,5.74,589.46,5.74,586.54,5.85,586.52,5.85,583.91,5.94,583.88,5.94,581.62,6.02,581.57,6.02,579.69,6.09,579.62,6.09,578.16,6.14,578.07,6.15
3,983.91,29.10,982.28,29.04,996.82,29.58,995.58,29.53,1009.78,30.06,1008.95,30.03,1022.80,30.54,1022.39,30.53,1035.87,31.03,1035.90,31.03,1049.00,31.51,1049.48,31.53,1062.18,32.00,1063.14,32.04,598.27,5.63,598.28,5.63,595.20,5.74,595.20,5.74,592.39,5.85,592.36,5.85,589.85,5.94,589.82,5.94,587.64,6.02,587.59,6.02,585.78,6.09,585.71,6.09,584.30,6.14,584.22,6.15
4,954.81,29.10,953.24,29.04,967.24,29.58,966.04,29.53,979.72,30.06,978.92,30.03,992.26,30.54,991.86,30.53,1004.84,31.03,1004.87,31.03,1017.48,31.51,1017.95,31.53,1030.18,32.00,1031.10,32.04,603.90,5.63,603.91,5.63,600.95,5.74,600.94,5.74,598.23,5.85,598.21,5.85,595.79,5.94,595.76,5.94,593.66,6.02,593.61,6.02,591.87,6.09,591.81,6.09,590.45,6.14,590.37,6.15
5,925.70,29.10,924.20,29.04,937.66,29.58,936.51,29.53,949.66,30.06,948.89,30.03,961.71,30.54,961.33,30.53,973.82,31.03,973.84,31.03,985.97,31.51,986.42,31.53,998.18,32.00,999.06,32.04,609.53,5.63,609.54,5.63,606.69,5.74,606.68,5.74,604.08,5.85,604.06,5.85,601.73,5.94,601.70,5.94,599.68,6.02,599.64,6.02,597.96,6.09,597.90,6.09,596.59,6.14,596.52,6.15
6,896.60,29.10,895.16,29.04,908.08,29.58,906.97,29.53,919.60,30.06,918.86,30.03,931.17,30.54,930.81,30.53,942.79,31.03,942.82,31.03,954.46,31.51,954.89,31.53,966.18,32.00,967.03,32.04,615.20,5.72,615.20,5.72,612.43,5.78,612.43,5.78,609.92,5.86,609.90,5.86,607.67,5.94,607.64,5.94,605.70,6.02,605.66,6.02,604.05,6.09,603.99,6.09,602.74,6.14,602.66,6.15
7,867.50,29.10,866.11,29.04,878.50,29.58,877.44,29.53,889.54,30.06,888.83,30.03,900.63,30.54,900.28,30.53,911.76,31.03,911.79,31.03,922.94,31.51,923.36,31.53,934.17,32.00,934.99,32.04,620.98,5.85,620.99,5.85,618.28,5.91,618.27,5.91,615.82,5.96,615.80,5.96,613.63,6.01,613.60,6.01,611.73,6.05,611.68,6.06,610.14,6.10,610.08,6.11,608.88,6.15,608.81,6.15
8,838.40,29.10,837.07,29.04,848.91,29.58,847.90,29.53,859.48,30.06,858.80,30.03,870.08,30.54,869.75,30.53,880.73,31.03,880.76,31.03,891.43,31.51,891.83,31.53,902.17,32.00,902.95,32.04,626.89,5.97,626.90,5.97,624.25,6.04,624.24,6.04,621.84,6.09,621.83,6.09,619.70,6.14,619.67,6.14,617.84,6.18,617.80,6.19,616.29,6.22,616.24,6.22,615.06,6.25,615.00,6.25
9,809.29,29.10,808.03,29.04,819.33,29.58,818.37,29.53,829.42,30.06,828.77,30.03,839.54,30.54,839.22,30.53,849.71,31.03,849.73,31.03,859.92,31.51,860.30,31.53,870.17,32.00,870.92,32.04,632.93,6.11,632.94,6.11,630.35,6.17,630.35,6.17,628.01,6.23,627.99,6.23,625.91,6.28,625.88,6.28,624.10,6.33,624.06,6.33,622.58,6.36,622.53,6.37,621.38,6.39,621.32,6.40
10,780.19,29.10,778.99,29.04,789.75,29.58,788.84,29.53,799.36,30.06,798.74,30.03,809.00,30.54,808.69,30.53,818.68,31.03,818.70,31.03,828.40,31.51,828.76,31.53,838.17,32.00,838.88,32.04,639.11,6.25,639.11,6.25,636.60,6.31,636.59,6.31,634.31,6.38,634.29,6.38,632.27,6.43,632.24,6.43,630.50,6.48,630.46,6.48,629.02,6.52,628.97,6.52,627.85,6.55,627.79,6.55
11,751.09,29.10,749.94,29.04,760.17,29.58,759.30,29.53,769.29,30.06,768.71,30.03,778.46,30.54,778.17,30.53,787.65,31.03,787.67,31.03,796.89,31.51,797.23,31.53,806.17,32.00,806.84,32.04,645.43,6.39,645.43,6.39,642.98,6.46,642.98,6.46,640.76,6.53,640.74,6.53,638.78,6.58,638.75,6.59,637.06,6.63,637.02,6.64,635.62,6.67,635.57,6.68,634.48,6.71,634.42,6.71
12,721.98,29.10,720.90,29.03,730.59,29.58,729.77,29.53,739.23,30.06,738.68,30.03,747.91,30.54,747.64,30.53,756.63,31.03,756.65,31.03,765.38,31.51,765.70,31.53,774.17,32.00,774.81,32.04,651.89,6.54,651.90,6.54,649.52,6.62,649.52,6.62,647.37,6.69,647.35,6.69,645.44,6.75,645.41,6.75,643.77,6.80,643.73,6.80,642.38,6.84,642.33,6.84,641.27,6.87,641.21,6.88
13,693.29,27.63,692.32,27.48,701.10,28.77,700.35,28.66,709.17,29.72,708.65,29.66,717.37,30.47,717.11,30.45,725.60,31.03,725.62,31.03,733.86,31.51,734.17,31.53,742.17,32.00,742.77,32.04,658.51,6.70,658.52,6.70,656.22,6.78,656.22,6.78,654.13,6.85,654.12,6.85,652.27,6.91,652.24,6.91,650.65,6.97,650.62,6.97,649.30,7.01,649.25,7.02,648.23,7.05,648.17,7.05
14,666.96,25.12,666.13,24.99,673.64,26.17,672.99,26.07,680.52,27.27,680.07,27.20,687.60,28.42,687.37,28.38,694.89,29.62,694.91,29.62,702.41,30.72,702.70,30.76,710.16,31.66,710.73,31.72,665.29,6.86,665.29,6.86,663.08,6.94,663.08,6.94,661.07,7.02,661.05,7.02,659.27,7.09,659.24,7.09,657.71,7.15,657.67,7.15,656.40,7.19,656.36,7.20,655.37,7.23,655.31,7.23
15,642.98,22.92,642.27,22.80,648.68,23.82,648.13,23.73,654.55,24.76,654.16,24.70,660.57,25.74,660.38,25.71,666.75,26.76,666.77,26.76,673.12,27.83,673.35,27.87,679.66,28.94,680.14,29.02,672.23,7.03,672.24,7.03,670.11,7.12,670.11,7.12,668.17,7.20,668.16,7.20,666.45,7.27,666.42,7.27,664.95,7.33,664.91,7.33,663.69,7.38,663.65,7.38,662.70,7.42,662.64,7.42
16,621.06,20.97,620.46,20.88,625.93,21.75,625.46,21.68,630.92,22.56,630.60,22.51,636.04,23.40,635.88,23.37,641.28,24.27,641.30,24.27,646.66,25.18,646.86,25.21,652.18,26.12,652.58,26.19,679.34,7.20,679.35,7.20,677.31,7.30,677.31,7.30,675.46,7.38,675.45,7.38,673.81,7.46,673.79,7.46,672.37,7.52,672.34,7.52,671.17,7.58,671.13,7.58,670.22,7.62,670.16,7.62
17,600.97,19.26,600.45,19.18,605.12,19.93,604.72,19.87,609.36,20.63,609.09,20.58,613.70,21.35,613.56,21.32,618.14,22.09,618.15,22.09,622.68,22.87,622.85,22.90,627.33,23.67,627.67,23.73,686.63,7.38,686.64,7.38,684.70,7.48,684.70,7.48,682.94,7.57,682.93,7.57,681.36,7.65,681.34,7.65,679.99,7.72,679.96,7.72,678.85,7.78,678.81,7.78,677.94,7.83,677.89,7.83
18,582.50,17.73,582.06,17.66,586.02,18.32,585.68,18.26,589.62,18.92,589.38,18.88,593.28,19.54,593.17,19.52,597.03,20.18,597.04,20.18,600.86,20.84,601.00,20.87,604.76,21.53,605.05,21.58,694.11,7.57,694.11,7.57,692.28,7.67,692.28,7.67,690.61,7.77,690.60,7.77,689.12,7.85,689.10,7.86,687.82,7.93,687.79,7.93,686.73,7.99,686.69,7.99,685.87,8.04,685.82,8.04
19,565.46,16.38,565.09,16.31,568.44,16.88,568.15,16.84,571.47,17.41,571.28,17.37,574.57,17.94,574.47,17.93,577.72,18.50,577.72,18.50,580.93,19.07,581.05,19.09,584.20,19.65,584.44,19.70,701.77,7.76,701.77,7.76,700.05,7.87,700.05,7.87,698.48,7.97,698.47,7.97,697.07,8.06,697.06,8.07,695.85,8.14,695.83,8.14,694.83,8.21,694.79,8.21,694.02,8.26,693.97,8.26
20,549.71,15.16,549.39,15.11,552.21,15.61,551.97,15.56,554.76,16.06,554.60,16.03,557.35,16.53,557.27,16.51,559.99,17.01,559.99,17.01,562.67,17.50,562.77,17.52,565.40,18.00,565.60,18.04,709.63,7.96,709.63,7.96,708.02,8.08,708.02,8.08,706.56,8.18,706.55,8.18,705.25,8.28,705.23,8.28,704.11,8.36,704.08,8.37,703.15,8.43,703.12,8.44,702.39,8.49,702.35,8.49
21,535.10,14.08,534.84,14.03,537.19,14.46,536.99,14.43,539.32,14.86,539.18,14.83,541.47,15.27,541.40,15.25,543.66,15.68,543.67,15.68,545.89,16.11,545.97,16.13,548.14,16.55,548.31,16.58,717.68,8.16,717.69,8.16,716.20,8.29,716.20,8.29,714.85,8.40,714.84,8.40,713.64,8.50,713.62,8.50,712.58,8.59,712.56,8.59,711.70,8.67,711.67,8.67,711.00,8.72,710.96,8.73
22,521.53,13.10,521.31,13.05,523.26,13.44,523.09,13.40,525.01,13.78,524.90,13.76,526.79,14.14,526.73,14.13,528.59,14.50,528.59,14.50,530.41,14.87,530.48,14.89,532.27,15.25,532.40,15.28,725.94,8.37,725.95,8.37,724.59,8.50,724.59,8.50,723.36,8.62,723.35,8.62,722.25,8.73,722.24,8.73,721.29,8.83,721.27,8.83,720.49,8.91,720.46,8.91,719.84,8.97,719.81,8.97
23,508.88,12.21,508.71,12.18,510.29,12.51,510.16,12.49,511.72,12.82,511.63,12.80,513.16,13.13,513.12,13.12,514.63,13.45,514.63,13.45,516.11,13.77,516.16,13.78,517.61,14.10,517.72,14.12,734.42,8.58,734.42,8.58,733.20,8.72,733.20,8.72,732.10,8.85,732.09,8.85,731.10,8.97,731.09,8.97,730.24,9.07,730.22,9.07,729.51,9.15,729.49,9.16,728.94,9.22,728.91,9.22
24,497.08,11.42,496.93,11.38,498.20,11.68,498.10,11.66,499.35,11.95,499.27,11.93,500.50,12.22,500.46,12.21,501.67,12.50,501.67,12.50,502.84,12.78,502.89,12.79,504.04,13.07,504.12,13.09,743.10,8.80,743.11,8.80,742.04,8.95,742.04,8.95,741.06,9.09,741.06,9.09,740.19,9.21,740.18,9.21,739.43,9.32,739.41,9.32,738.79,9.40,738.77,9.41,738.28,9.47,738.26,9.48
25,486.03,10.69,485.92,10.66,486.91,10.93,486.83,10.90,487.80,11.16,487.74,11.15,488.70,11.40,488.67,11.40,489.60,11.65,489.60,11.65,490.52,11.90,490.55,11.90,491.44,12.15,491.51,12.16,752.01,9.02,752.02,9.02,751.10,9.18,751.10,9.18,750.27,9.33,750.26,9.33,749.52,9.46,749.51,9.46,748.87,9.57,748.86,9.57,748.32,9.66,748.30,9.67,747.89,9.74,747.87,9.74
26,475.67,10.04,475.59,10.01,476.33,10.24,476.27,10.22,477.00,10.45,476.96,10.44,477.67,10.66,477.65,10.66,478.35,10.88,478.35,10.88,479.03,11.10,479.06,11.10,479.72,11.32,479.77,11.33,761.15,9.25,761.15,9.25,760.40,9.42,760.40,9.42,759.72,9.57,759.71,9.57,759.10,9.71,759.09,9.71,758.57,9.83,758.56,9.83,758.12,9.93,758.10,9.93,757.76,10.01,757.74,10.01
